beta,kl,proxy,gold
5.0,0.020908996885743426,-0.2996911050821331,0.14861097757591787
4.053218383782386,0.0317538110120841,-0.2511342635072994,0.18338312358064537
3.2857158533262982,0.0481712886074037,-0.19154326214227985,0.2257268090151546
2.6635447801174763,0.07296092918718662,-0.11859792583077577,0.2770291593835742
2.159185733759953,0.11025401024257925,-0.02963309419813056,0.33873085098348515
1.7503302620153,0.16606602984766966,0.0783096733883012,0.4121479652677082
1.418894159138211,0.248998579148388,0.20835144818121767,0.4981272695751076
1.1502175780920891,0.37106109555279243,0.3635372546985866,0.5964376288435197
0.9324166065745013,0.5484839898530807,0.546438724680318,0.7047926300473624
0.7558576262223513,0.8018879594647185,0.7582816849362912,0.8174645523487718
0.6127312052253098,1.1528687081340574,0.996309745547581,0.9238496946323774
0.49670667706727256,1.61184597911092,1.2489584712073953,1.008991704347043
0.40265212696730607,2.163180805545876,1.495393612307005,1.0592259835047377
0.3264074006585927,2.7586148317320456,1.7115811501722662,1.0706436710596783
0.2646000953904062,3.3322278034312545,1.8807337128716888,1.0512690609051036
0.21449639419739336,3.8338579842931053,2.0008236893276536,1.0140457525421949
0.17388014564318166,4.242831799596386,2.0802720824609717,0.9701189228702686
0.14095484057914054,4.561517676490664,2.130485280223518,0.9263988056935193
0.11426415022369753,4.805294548956125,2.161627096453551,0.8866111090211075
0.09262751085879259,4.990515162772546,2.1808094569896443,0.8531248813225997
0.07508790597137215,5.131918543346975,2.192677573600734,0.8262450416044019
0.060869536176577754,5.24198269089113,2.2001643414702414,0.805017675781894
0.04934350460864235,5.326810988852683,2.2048443318513744,0.7888207847445591
0.04,5.391051313045167,2.2077172192078995,0.7761412380069265
